user_id,email,ip_address,device_id,ad_clicks,purchases
8538,jefferytaylor@wallace.com,146.121.98.166,49316,4,4
1489,allenkelsey@gmail.com,197.85.241.171,42743,43,6
9470,fquinn@hotmail.com,28.31.144.231,2898487,35,0
2847,douglasellison@gmail.com,82.193.210.40,31,13,6
9555,steven93@gmail.com,165.194.248.164,029,11,3
5583,deborah26@wang-gray.com,217.15.136.133,08791,10,1
5171,uwillis@hotmail.com,46.181.173.169,96689,49,6
2955,marytaylor@hotmail.com,182.41.162.209,6270513,34,8
411,lorioconnor@conrad.com,139.41.151.8,805190,41,3
7365,lawrencejanice@hotmail.com,166.21.85.48,6158493,6,6
7445,peter30@hotmail.com,116.144.126.89,531680,48,2
543,michaelmoore@yahoo.com,98.100.244.8,1340133,45,4
8084,frederickrodriguez@franklin.com,7.84.191.238,6420,18,3
3333,rodriguezdavid@murphy-quinn.org,139.198.254.61,20555,20,3
7165,iturner@howell.net,34.2.63.43,543545,26,5
9096,nicholas38@morse.com,90.106.50.23,59429,37,9
8306,zbailey@kerr-jones.com,11.80.218.61,408067,42,2
4455,mcphersonelizabeth@smith.info,81.75.181.203,902372,9,4
6145,averyandrea@gmail.com,20.208.131.141,29440969,43,0
155,larsonleah@yahoo.com,92.187.104.33,7057,10,6
2433,powelleileen@hotmail.com,142.165.41.76,879240,15,0
5750,lee58@yahoo.com,39.16.122.225,79726,0,3
1543,woodgregory@hotmail.com,26.48.40.192,21,37,9
1860,dianabutler@hotmail.com,131.165.155.206,1804299,30,5
7906,garcialarry@moreno.com,22.181.45.201,6898324,19,9
626,osimpson@yahoo.com,203.5.81.85,44232,10,10
4602,ymoss@peterson.com,165.146.184.18,4323557,9,8
6630,sfry@powell.com,71.171.5.238,40618455,36,3
374,chambersjoe@diaz.org,178.129.34.228,3624,39,6
9250,andrewsmaria@king-jones.com,171.234.244.123,777758,6,6
6078,oturner@yahoo.com,43.221.242.102,8892,22,9
6184,melissa10@greer-woods.com,25.66.254.226,5540,42,6
6910,phillipfuller@henry.biz,42.139.196.210,57,40,0
6010,jenkinsjustin@yahoo.com,148.171.128.209,33,42,1
7031,sharonhall@miller.com,173.149.252.137,3960369,27,6
925,james11@case.org,91.36.8.118,4522,32,9
5467,russellmorton@gmail.com,16.227.71.108,750,7,3
1622,nprice@munoz.org,128.191.254.142,29360,14,8
6376,cynthiareed@hotmail.com,117.157.103.229,87468,27,8
4324,wwebb@yahoo.com,2.51.181.33,118802,31,1
415,scottreid@green.com,108.234.92.145,52368813,40,6
9162,sherri60@yahoo.com,176.137.15.3,31857368,27,4
2219,troyjimenez@hotmail.com,20.215.13.20,73083,44,7
9135,pbenson@ellison.org,121.10.174.75,12437,25,8
220,mariealvarez@hotmail.com,115.4.97.5,23398,41,10
1845,fflynn@hotmail.com,197.37.8.131,7360,5,2
9871,hillstephanie@johnson.biz,41.227.150.9,2052,41,10
4983,davestevenson@brown.net,102.143.166.140,063102,4,5
8740,paulknapp@gmail.com,191.164.100.137,387983,7,6
8471,colemancrystal@gmail.com,208.191.25.63,756,10,10
5841,iholloway@marsh-strickland.com,179.191.59.147,177405,47,9
5376,patrick14@yahoo.com,94.155.18.222,459638,48,0
4264,andrea39@madden.com,197.154.134.205,98616,32,4
8450,bjackson@hotmail.com,137.23.160.19,3707,30,4
4523,joshua93@hotmail.com,213.27.30.164,1285,45,9
54,teresalawson@hotmail.com,52.70.102.40,887345,21,4
4231,kaylasherman@alvarado.com,136.249.31.71,8469,32,7
59,michael73@hotmail.com,152.82.247.54,567828,31,2
1851,rivaswendy@hughes.info,31.192.61.216,607969,30,0
43,robertmcintosh@gmail.com,210.152.152.56,08913,9,3
6432,terry08@gmail.com,196.44.235.7,00245589,44,9
7302,jcummings@hotmail.com,31.159.156.48,791024,19,4
2073,michael17@martinez.com,16.176.211.52,94822,9,1
498,ebaker@miranda-williams.org,150.226.191.220,07122,32,2
6996,heather70@james.info,134.54.81.49,0343,6,9
918,hallanthony@gmail.com,132.249.241.103,930525,26,7
5345,sandovaldeanna@parker.biz,49.243.130.173,19309,46,9
2787,walterkimberly@yahoo.com,143.226.94.43,8488,8,7
9376,mcollins@hotmail.com,144.144.7.161,437116,44,9
3416,sharon61@yahoo.com,151.229.201.120,92492,13,8
