user_id,email,ip_address,device_id,ad_clicks,purchases
8538,jefferytaylor@wallace.com,146.121.98.166,49f31ad6,4,4
1489,allenkelsey@gmail.com,197.85.241.171,42bec743,43,6
9470,fquinn@hotmail.com,28.31.144.231,289d8487,35,0
2847,douglasellison@gmail.com,82.193.210.40,ceae3a1a,13,6
9555,steven93@gmail.com,165.194.248.164,f029cdbf,11,3
5583,deborah26@wang-gray.com,217.15.136.133,0b8f79a1,10,1
5171,uwillis@hotmail.com,46.181.173.169,ee9668e9,49,6
2955,marytaylor@hotmail.com,182.41.162.209,62f70513,34,8
411,lorioconnor@conrad.com,139.41.151.8,805a190b,41,3
7365,lawrencejanice@hotmail.com,166.21.85.48,6158493b,6,6
7445,peter30@hotmail.com,116.144.126.89,53ec1680,48,2
543,michaelmoore@yahoo.com,98.100.244.8,13401b33,45,4
8084,frederickrodriguez@franklin.com,7.84.191.238,6df42a0b,18,3
3333,rodriguezdavid@murphy-quinn.org,139.198.254.61,cf205e55,20,3
7165,iturner@howell.net,34.2.63.43,54c3545f,26,5
9096,nicholas38@morse.com,90.106.50.23,594e2e9a,37,9
8306,zbailey@kerr-jones.com,11.80.218.61,40806ba7,42,2
4455,mcphersonelizabeth@smith.info,81.75.181.203,b9c02372,9,4
6145,averyandrea@gmail.com,20.208.131.141,29440969,43,0
155,larsonleah@yahoo.com,92.187.104.33,a70ef5c7,10,6
2433,powelleileen@hotmail.com,142.165.41.76,87924f0f,15,0
5750,lee58@yahoo.com,39.16.122.225,7a9fe726,0,3
1543,woodgregory@hotmail.com,26.48.40.192,c2ceaee1,37,9
1860,dianabutler@hotmail.com,131.165.155.206,1804299f,30,5
7906,garcialarry@moreno.com,22.181.45.201,68983c24,19,9
626,osimpson@yahoo.com,203.5.81.85,dd442b32,10,10
4602,ymoss@peterson.com,165.146.184.18,4323f557,9,8
6630,sfry@powell.com,71.171.5.238,40618455,36,3
374,chambersjoe@diaz.org,178.129.34.228,36eabf24,39,6
9250,andrewsmaria@king-jones.com,171.234.244.123,7eb77758,6,6
6078,oturner@yahoo.com,43.221.242.102,88f9fed2,22,9
6184,melissa10@greer-woods.com,25.66.254.226,c5b540ca,42,6
6910,phillipfuller@henry.biz,42.139.196.210,ebfc5ce7,40,0
6010,jenkinsjustin@yahoo.com,148.171.128.209,d3ad3fde,42,1
7031,sharonhall@miller.com,173.149.252.137,3960369d,27,6
925,james11@case.org,91.36.8.118,af452ed2,32,9
5467,russellmorton@gmail.com,16.227.71.108,b7ca5df0,7,3
1622,nprice@munoz.org,128.191.254.142,29c360dd,14,8
6376,cynthiareed@hotmail.com,117.157.103.229,bed87468,27,8
4324,wwebb@yahoo.com,2.51.181.33,e1f18802,31,1
415,scottreid@green.com,108.234.92.145,52368813,40,6
9162,sherri60@yahoo.com,176.137.15.3,31857368,27,4
2219,troyjimenez@hotmail.com,20.215.13.20,73cc08a3,44,7
9135,pbenson@ellison.org,121.10.174.75,12cff437,25,8
220,mariealvarez@hotmail.com,115.4.97.5,2339dfc8,41,10
1845,fflynn@hotmail.com,197.37.8.131,73b60dbc,5,2
9871,hillstephanie@johnson.biz,41.227.150.9,20a52ceb,41,10
4983,davestevenson@brown.net,102.143.166.140,0631ce02,4,5
8740,paulknapp@gmail.com,191.164.100.137,387983de,7,6
8471,colemancrystal@gmail.com,208.191.25.63,aaa75c6d,10,10
5841,iholloway@marsh-strickland.com,179.191.59.147,17740d5d,47,9
5376,patrick14@yahoo.com,94.155.18.222,c45b9638,48,0
4264,andrea39@madden.com,197.154.134.205,c9e86f16,32,4
8450,bjackson@hotmail.com,137.23.160.19,d370c7ba,30,4
4523,joshua93@hotmail.com,213.27.30.164,1d2ee85c,45,9
